Sample,X(ms) [24.09.2026 09:59:16 693 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
2,1790243951568.101872,0,0,0
3,1790243951608.034472,0,0,0
4,1790243951648.061172,0,0,0
5,1790243951688.071672,0,0,0
6,1790243951728.081472,0,0,0
7,1790243951768.024572,0,0,0
8,1790243951808.034572,0,0,0
9,1790243951848.100972,0,0,0
10,1790243951888.121072,0,0,0
11,1790243951928.035772,0,0,0
12,1790243951968.021972,0,0,0
13,1790243952008.080472,0,0,0
14,1790243952048.062572,0,0,0
15,1790243952089.297672,0,0,0
16,1790243952128.051972,0,0,0
17,1790243952168.171472,0,0,0
18,1790243952208.139372,0,0,0
19,1790243952248.002872,0,0,0
20,1790243952288.029772,0,0,0
21,1790243952328.036472,0,0,0
22,1790243952368.017472,0,0,0
23,1790243952408.068872,0,0,0
24,1790243952448.031872,0,0,0
25,1790243952488.034972,0,0,0
26,1790243952528.117472,0,0,0
27,1790243952568.095972,0,0,0
28,1790243952608.018072,0,0,0
29,1790243952648.036972,0,0,0
30,1790243952687.993272,0,0,0
31,1790243952728.086872,0,0,0
32,1790243952768.061072,0,0,0
33,1790243952808.020372,0,0,0
34,1790243952848.016572,0,0,0
35,1790243952887.994172,0,0,0
36,1790243952928.149172,0,0,0
37,1790243952968.034672,0,0,0
38,1790243953007.991872,0,0,0
39,1790243953048.004672,0,0,0
40,1790243953087.991972,0,0,0
41,1790243953127.997772,0,0,0
42,1790243953168.104872,0,0,0
43,1790243953207.980372,0,0,0
44,1790243953248.007772,0,0,0
45,1790243953287.972572,0,0,0
46,1790243953328.065572,0,0,0
47,1790243953367.963472,0,0,0
48,1790243953407.976372,0,0,0
49,1790243953448.045672,0,0,0
50,1790243953487.975272,0,0,0
51,1790243953528.399072,0,0,0
52,1790243953568.093772,0,0,0
53,1790243953607.958172,0,0,0
54,1790243953647.976472,0,0,0
55,1790243953688.093672,0,0,0
56,1790243953728.178572,0,0,0
57,1790243953767.995672,0,0,0
58,1790243953807.969872,0,0,0
59,1790243953847.980572,0,0,0
60,1790243953887.982172,0,0,0
61,1790243953928.339372,0,0,0
62,1790243953967.958072,0,0,0
63,1790243954007.957972,0,0,0
64,1790243954047.957172,0,0,0
65,1790243954087.957472,0,0,0
66,1790243954127.993672,0,0,0
