Sample,X(ms) [22.09.2026 22:13:58 598 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","vrednost_upravljanja[%MD10]"
0,1790115231510.022771,0,0,0
1,1790115231550.059771,0,0,0
2,1790115231590.043471,0,0,0
3,1790115231630.023271,0,0,0
4,1790115231670.046171,0,0,0
5,1790115231710.017071,0,0,0
6,1790115231750.028371,0,0,0
7,1790115231790.042571,0,0,0
8,1790115231830.055471,0,0,0
9,1790115231870.024971,0,0,0
10,1790115231910.032071,0,0,0
11,1790115231950.023071,0,0,0
12,1790115231990.028871,0,0,0
13,1790115232029.999171,0,0,0
14,1790115232070.014371,0,0,0
15,1790115232110.004671,0,0,0
16,1790115232150.007271,0,0,0
17,1790115232189.997271,0,0,0
18,1790115232230.007671,0,0,0
19,1790115232269.983471,0,0,0
20,1790115232310.022671,0,0,0
21,1790115232350.006871,0,0,0
22,1790115232389.995171,0,0,0
23,1790115232430.003071,0,0,0
24,1790115232470.005671,0,0,0
25,1790115232509.963071,0,0,0
26,1790115232549.982171,0,0,0
27,1790115232590.008771,0,0,0
28,1790115232629.971871,0,0,0
29,1790115232669.981071,0,0,0
30,1790115232709.966971,0,0,0
31,1790115232749.992971,0,0,0
32,1790115232789.990071,0,0,0
33,1790115232829.968071,0,0,0
34,1790115232869.964371,0,0,0
35,1790115232909.951571,0,0,0
36,1790115232949.968871,0,0,0
37,1790115232989.974571,0,0,0
38,1790115233029.945271,0,0,0
39,1790115233069.959271,0,0,0
40,1790115233109.970771,0,0,0
41,1790115233149.932771,0,0,0
42,1790115233189.940871,0,0,0
43,1790115233229.961471,0,0,0
44,1790115233269.927871,0,0,0
45,1790115233309.923271,0,0,0
46,1790115233349.944971,0,0,0
47,1790115233389.926471,0,0,0
48,1790115233429.924371,0,0,0
49,1790115233480.786771,0,0,0
50,1790115233518.797171,0,0,0
51,1790115233558.815871,0,0,0
52,1790115233598.807671,0,0,0
53,1790115233638.811571,0,0,0
54,1790115233678.772271,0,0,0
55,1790115233718.795371,0,0,0
56,1790115233758.764571,0,0,0
57,1790115233798.776971,0,0,0
58,1790115233838.769471,0,0,0
59,1790115233878.780471,0,0,0
60,1790115233918.773371,0,0,0
61,1790115233958.776471,0,0,0
62,1790115233998.779071,0,0,0
63,1790115234038.774571,0,0,0
64,1790115234078.744671,0,0,0
65,1790115234118.778671,0,0,0
66,1790115234158.771071,0,0,0
67,1790115234198.771171,0,0,0
