Sample,X(ms) [22.09.2026 22:44:17 863 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","vrednost_upravljanja[%MD10]"
1,1790117047584.025989,0,0,0
2,1790117047624.038289,0,0,0
3,1790117047664.045089,0,0,0
4,1790117047704.028989,0,0,0
5,1790117047744.037289,0,0,0
6,1790117047784.022189,0,0,0
7,1790117047824.017989,0,0,0
8,1790117047864.013689,0,0,0
9,1790117047904.000189,0,0,0
10,1790117047944.004389,0,0,0
11,1790117047984.024389,0,0,0
12,1790117048024.007689,0,0,0
13,1790117048064.008489,0,0,0
14,1790117048104.012189,0,0,0
15,1790117048144.029889,0,0,0
16,1790117048184.007289,0,0,0
17,1790117048224.022989,0,0,0
18,1790117048263.988789,0,0,0
19,1790117048303.976389,0,0,0
20,1790117048343.989589,0,0,0
21,1790117048383.987089,0,0,0
22,1790117048423.998189,0,0,0
23,1790117048464.010189,0,0,0
24,1790117048504.040889,0,0,0
25,1790117048544.033589,0,0,0
26,1790117048583.965889,0,0,0
27,1790117048623.962089,0,0,0
28,1790117048663.965289,0,0,0
29,1790117048703.965589,0,0,0
30,1790117048743.990889,0,0,0
31,1790117048783.981089,0,0,0
32,1790117048823.995589,0,0,0
33,1790117048863.970789,0,0,0
34,1790117048903.971189,0,0,0
35,1790117048943.981789,0,0,0
36,1790117048983.980189,0,0,0
37,1790117049023.973689,0,0,0
38,1790117049063.977689,0,0,0
39,1790117049103.976489,0,0,0
40,1790117049143.947289,0,0,0
41,1790117049183.944889,0,0,0
42,1790117049223.961489,0,0,0
43,1790117049263.945889,0,0,0
44,1790117049303.943989,0,0,0
45,1790117049343.959489,0,0,0
46,1790117049383.961189,0,0,0
47,1790117049423.925889,0,0,0
48,1790117049463.952689,0,0,0
49,1790117049503.940789,0,0,0
50,1790117049543.943689,0,0,0
51,1790117049583.913389,0,0,0
52,1790117049623.931089,0,0,0
53,1790117049663.916589,0,0,0
54,1790117049703.940489,0,0,0
55,1790117049743.922189,0,0,0
56,1790117049783.902189,0,0,0
57,1790117049823.935089,0,0,0
58,1790117049863.931189,0,0,0
59,1790117049903.926689,0,0,0
60,1790117049943.894989,0,0,0
61,1790117049983.894389,0,0,0
62,1790117050023.927289,0,0,0
63,1790117050063.921189,0,0,0
64,1790117050103.889889,0,0,0
65,1790117050143.904289,0,0,0
66,1790117050183.894489,0,0,0
67,1790117050223.909489,0,0,0
68,1790117050263.888489,0,0,0
69,1790117050303.901989,0,0,0
70,1790117050343.892489,0,0,0
71,1790117050383.868289,0,0,0
72,1790117050423.898089,0,0,0
73,1790117050463.876289,0,0,0
74,1790117050503.874389,0,0,0
75,1790117050543.884689,0,0,0
76,1790117050583.882689,0,0,0
77,1790117050623.881489,0,0,0
78,1790117050663.872989,0,0,0
79,1790117050703.873389,0,0,0
80,1790117050743.865189,0,0,0
81,1790117050783.846889,0,0,0
82,1790117050823.871189,0,0,0
83,1790117050863.860689,0,0,0
84,1790117050903.848889,0,0,0
85,1790117050943.860789,0,0,0
86,1790117050983.842789,0,0,0
87,1790117051023.864689,0,0,0
88,1790117051063.865689,0,0,0
89,1790117051103.851889,0,0,0
90,1790117051143.859289,0,0,0
91,1790117051183.828289,0,0,0
92,1790117051223.855389,0,0,0
93,1790117051263.830989,0,0,0
94,1790117051303.816689,0,0,0
95,1790117051343.864489,0,0,0
96,1790117051383.920089,0,0,0
97,1790117051423.909289,0,0,0
98,1790117051463.843489,0,0,0
99,1790117051503.848789,0,0,0
100,1790117051543.846689,0,0,0
101,1790117051583.829689,0,0,0
102,1790117051623.842989,0,0,0
103,1790117051663.882689,0,0,0
104,1790117051703.851289,0,0,0
105,1790117051743.840989,0,0,0
106,1790117051783.845289,0,0,0
107,1790117051823.839089,0,0,0
108,1790117051863.849889,0,0,0
109,1790117051903.849689,0,0,0
110,1790117051943.887989,0,0,0
111,1790117051983.896289,0,0,0
112,1790117052023.854489,0,0,0
113,1790117052063.858289,0,0,0
114,1790117052103.879589,0,0,0
115,1790117052143.875389,0,0,0
116,1790117052183.858789,0,0,0
117,1790117052223.907389,0,0,0
118,1790117052263.855789,0,0,0
119,1790117052303.886589,0,0,0
120,1790117052343.869189,0,0,0
121,1790117052383.868389,0,0,0
122,1790117052423.868289,0,0,0
123,1790117052463.862089,0,0,0
124,1790117052503.872589,0,0,0
125,1790117052543.882789,0,0,0
126,1790117052583.886189,0,0,0
127,1790117052623.911489,0,0,0
128,1790117052663.879189,0,0,0
129,1790117052703.959489,0,0,0
130,1790117052743.879689,0,0,0
131,1790117052783.938789,0,0,0
132,1790117052823.878489,0,0,0
133,1790117052864.010889,0,0,0
134,1790117052903.980889,0,0,0
135,1790117052943.999189,0,0,0
136,1790117052983.988789,0,0,0
137,1790117053023.988989,0,0,0
138,1790117053063.977789,0,0,0
139,1790117053103.992589,0,0,0
140,1790117053144.000089,0,0,0
141,1790117053184.057689,0,0,0
142,1790117053224.011589,0,0,0
143,1790117053264.014889,0,0,0
144,1790117053303.996589,0,0,0
145,1790117053344.019989,0,0,0
146,1790117053384.004289,0,0,0
147,1790117053423.997189,0,0,0
148,1790117053463.706589,0,0,0
149,1790117053504.039489,0,0,0
150,1790117053544.025789,0,0,0
151,1790117053584.011989,0,0,0
152,1790117053624.010689,0,0,0
153,1790117053663.996089,0,0,0
154,1790117053704.015189,0,0,0
155,1790117053744.024689,0,0,0
156,1790117053783.706589,0,0,0
157,1790117053823.686789,0,0,0
158,1790117053864.023489,0,0,0
159,1790117053904.016489,0,0,0
160,1790117053944.002289,0,0,0
161,1790117053983.999189,0,0,0
162,1790117054023.679889,0,0,0
163,1790117054063.670389,0,0,0
164,1790117054103.662789,0,0,0
165,1790117054143.669589,0,0,0
166,1790117054183.675589,0,0,0
167,1790117054223.678489,0,0,0
168,1790117054263.667189,0,0,0
169,1790117054303.671589,0,0,0
170,1790117054343.681789,0,0,0
171,1790117054383.676089,0,0,0
172,1790117054423.677989,0,0,0
173,1790117054463.641189,0,0,0
174,1790117054503.641689,0,0,0
175,1790117054543.665989,0,0,0
176,1790117054583.659689,0,0,0
177,1790117054623.659089,0,0,0
178,1790117054663.646989,0,0,0
179,1790117054703.648789,0,0,0
180,1790117054743.651289,0,0,0
181,1790117054783.652589,0,0,0
182,1790117054823.657089,0,0,0
183,1790117054863.656089,0,0,0
184,1790117054903.625589,0,0,0
185,1790117054943.660189,0,0,0
186,1790117054983.645189,0,0,0
187,1790117055023.639789,0,0,0
188,1790117055063.628889,0,0,0
189,1790117055103.641089,0,0,0
190,1790117055143.630389,0,0,0
191,1790117055183.639189,0,0,0
