Sample,X(ms) [24.09.2026 09:48:38 648 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","referentna_vrednost[%MD10]"
866,1790243296969.558619,0,0,0
867,1790243297009.502119,0,0,0
868,1790243297049.504619,0,0,0
869,1790243297089.502719,0,0,0
870,1790243297129.564619,0,0,0
871,1790243297169.559919,0,0,0
872,1790243297209.506919,0,0,0
873,1790243297249.481419,0,0,0
874,1790243297289.451219,0,0,0
875,1790243297329.493619,0,0,0
876,1790243297369.453019,0,0,0
877,1790243297409.483419,0,0,0
878,1790243297449.476119,0,0,0
879,1790243297489.473719,0,0,0
880,1790243297529.498219,0,0,0
881,1790243297569.460319,0,0,0
882,1790243297609.462019,0,0,0
883,1790243297649.482219,0,0,0
884,1790243297689.478719,0,0,0
885,1790243297729.637519,0,0,0
886,1790243297769.551219,0,0,0
887,1790243297809.466219,0,0,0
888,1790243297849.436319,0,0,0
889,1790243297889.457419,0,0,0
890,1790243297929.447919,0,0,0
891,1790243297969.464419,0,0,0
892,1790243298009.426319,0,0,0
893,1790243298049.456119,0,0,0
894,1790243298089.458419,0,0,0
895,1790243298129.415219,0,0,0
896,1790243298169.430419,0,0,0
897,1790243298209.503419,0,0,0
898,1790243298249.452919,0,0,0
899,1790243298289.496719,0,0,0
900,1790243298329.445319,0,0,0
901,1790243298369.453919,0,0,0
902,1790243298409.437119,0,0,0
903,1790243298449.415319,0,0,0
904,1790243298489.440419,0,0,0
905,1790243298529.420419,0,0,0
906,1790243298569.430619,0,0,0
907,1790243298609.389219,0,0,0
908,1790243298649.387319,0,0,0
909,1790243298689.394419,0,0,0
910,1790243298729.669319,0,0,0
911,1790243298769.427119,0,0,0
912,1790243298809.492419,0,0,0
913,1790243298849.412119,0,0,0
914,1790243298889.436719,0,0,0
915,1790243298929.448619,0,0,0
916,1790243298969.419719,0,0,0
917,1790243299009.379619,0,0,0
918,1790243299049.407219,0,0,0
919,1790243299089.431119,0,0,0
920,1790243299129.417919,0,0,0
921,1790243299169.408119,0,0,0
922,1790243299209.418719,0,0,0
923,1790243299249.410619,0,0,0
924,1790243299289.403319,0,0,0
925,1790243299329.705319,0,0,0
926,1790243299369.380119,0,0,0
927,1790243299409.412219,0,0,0
928,1790243299449.378519,0,0,0
929,1790243299489.368219,0,0,0
930,1790243299529.575619,0,0,0
931,1790243299569.423019,0,0,0
932,1790243299609.367019,0,0,0
933,1790243299649.398219,0,0,0
934,1790243299689.419319,0,0,0
935,1790243299729.566519,0,0,0
936,1790243299769.385719,0,0,0
937,1790243299809.394819,0,0,0
938,1790243299849.370619,0,0,0
939,1790243299889.378319,0,0,0
940,1790243299929.437419,0,0,0
941,1790243299969.346819,0,0,0
942,1790243300009.390319,0,0,0
943,1790243300049.366719,0,0,0
944,1790243300089.964519,0,0,0
945,1790243300129.438219,0,0,0
946,1790243300169.377419,0,0,0
947,1790243300209.365919,0,0,0
948,1790243300249.338719,0,0,0
949,1790243300289.451919,0,0,0
950,1790243300329.354519,0,0,0
951,1790243300369.354719,0,0,0
952,1790243300409.352019,0,0,0
953,1790243300449.340019,0,0,0
954,1790243300489.341019,0,0,0
955,1790243300529.328919,0,0,0
956,1790243300569.376919,0,0,0
957,1790243300609.306919,0,0,0
958,1790243300649.352219,0,0,0
959,1790243300689.335719,0,0,0
960,1790243300729.338419,0,0,0
961,1790243300769.421519,0,0,0
962,1790243300809.329619,0,0,0
963,1790243300849.316219,0,0,0
964,1790243300889.340719,0,0,0
965,1790243300929.363919,0,0,0
966,1790243300969.393319,0,0,0
967,1790243301009.337919,0,0,0
968,1790243301049.305419,0,0,0
969,1790243301089.341219,0,0,0
970,1790243301129.323819,0,0,0
971,1790243301169.402419,0,0,0
972,1790243301209.286519,0,0,0
973,1790243301249.337919,0,0,0
974,1790243301289.299619,0,0,0
975,1790243301329.317119,0,0,0
976,1790243301369.295719,0,0,0
977,1790243301409.285719,0,0,0
978,1790243301449.298419,0,0,0
979,1790243301489.292319,0,0,0
980,1790243301529.298719,0,0,0
981,1790243301569.310019,0,0,0
982,1790243301609.325719,0,0,0
983,1790243301649.295919,0,0,0
984,1790243301689.265919,0,0,0
985,1790243301729.502919,0,0,0
986,1790243301769.269419,0,0,0
987,1790243301809.319019,0,0,0
988,1790243301849.305919,0,0,0
989,1790243301889.290219,0,0,0
990,1790243301929.372019,0,0,0
991,1790243301969.339019,0,0,0
992,1790243302009.254919,0,0,0
993,1790243302049.265619,0,0,0
