Sample,X(ms) [22.09.2026 22:05:40 989 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]"
1,1790114732990.022643,0,0
2,1790114733030.035343,0,0
3,1790114733070.039643,0,0
4,1790114733110.046843,0,0
5,1790114733150.031743,0,0
6,1790114733190.050043,0,0
7,1790114733230.014443,0,0
8,1790114733270.034743,0,0
9,1790114733310.007143,0,0
10,1790114733350.003843,0,0
11,1790114733390.025543,0,0
12,1790114733430.008543,0,0
13,1790114733470.018143,0,0
14,1790114733510.025643,0,0
15,1790114733550.014443,0,0
16,1790114733590.010143,0,0
17,1790114733630.032443,0,0
18,1790114733670.010143,0,0
19,1790114733710.014143,0,0
20,1790114733749.995243,0,0
21,1790114733789.976843,0,0
22,1790114733830.009643,0,0
23,1790114733870.015443,0,0
24,1790114733909.964143,0,0
25,1790114733949.975243,0,0
26,1790114733989.961543,0,0
27,1790114734029.971043,0,0
28,1790114734069.996743,0,0
29,1790114734109.976143,0,0
30,1790114734149.961943,0,0
31,1790114734189.966943,0,0
32,1790114734229.951843,0,0
33,1790114734269.985243,0,0
34,1790114734309.957243,0,0
35,1790114734349.990943,0,0
36,1790114734389.948543,0,0
37,1790114734429.940943,0,0
38,1790114734469.955643,0,0
39,1790114734509.955343,0,0
40,1790114734549.932543,0,0
41,1790114734589.959343,0,0
42,1790114734629.961243,0,0
43,1790114734669.931143,0,0
44,1790114734709.922943,0,0
45,1790114734749.957743,0,0
46,1790114734789.932043,0,0
47,1790114734829.948343,0,0
48,1790114734869.944943,0,0
49,1790114734909.945843,0,0
50,1790114734949.943143,0,0
51,1790114734989.951443,0,0
52,1790114735029.910543,0,0
53,1790114735069.912643,0,0
54,1790114735109.929943,0,0
55,1790114735149.919943,0,0
56,1790114735189.906743,0,0
57,1790114735229.925543,0,0
58,1790114735269.913043,0,0
59,1790114735309.922043,0,0
60,1790114735349.912243,0,0
61,1790114735389.915143,0,0
62,1790114735429.889343,0,0
63,1790114735469.888943,0,0
64,1790114735509.892843,0,0
65,1790114735549.910543,0,0
66,1790114735589.911143,0,0
67,1790114735629.882043,0,0
68,1790114735669.875443,0,0
69,1790114735709.894943,0,0
70,1790114735749.882343,0,0
71,1790114735789.897843,0,0
72,1790114735829.877943,0,0
73,1790114735869.885143,0,0
74,1790114735909.869243,0,0
75,1790114735949.866643,0,0
76,1790114735989.855143,0,0
77,1790114736029.853743,0,0
78,1790114736069.857243,0,0
79,1790114736109.846043,0,0
80,1790114736149.872343,0,0
81,1790114736189.845743,0,0
82,1790114736229.853543,0,0
83,1790114736269.842143,0,0
84,1790114736309.863843,0,0
85,1790114736349.852943,0,0
86,1790114736389.853643,0,0
87,1790114736429.831543,0,0
88,1790114736469.846743,0,0
89,1790114736509.850343,0,0
90,1790114736549.835543,0,0
91,1790114736589.841043,0,0
92,1790114736629.826743,0,0
93,1790114736669.819343,0,0
94,1790114736709.814243,0,0
95,1790114736749.816743,0,0
96,1790114736789.826043,0,0
97,1790114736829.839743,0,0
98,1790114736869.847143,0,0
99,1790114736909.839943,0,0
100,1790114736949.805543,0,0
101,1790114736989.806543,0,0
102,1790114737029.798743,0,0
103,1790114737069.810243,0,0
104,1790114737109.795443,0,0
105,1790114737149.823843,0,0
106,1790114737189.789743,0,0
107,1790114737229.791343,0,0
108,1790114737269.818743,0,0
109,1790114737309.815043,0,0
110,1790114737349.795043,0,0
111,1790114737389.812043,0,0
112,1790114737429.795843,0,0
113,1790114737469.794943,0,0
114,1790114737509.793243,0,0
115,1790114737549.766643,0,0
116,1790114737589.769243,0,0
117,1790114737629.765543,0,0
118,1790114737669.783843,0,0
119,1790114737709.771143,0,0
120,1790114737749.771843,0,0
121,1790114737789.803943,0,0
122,1790114737829.789343,0,0
123,1790114737869.747543,0,0
124,1790114737909.752643,0,0
125,1790114737949.757343,0,0
126,1790114737989.750643,0,0
127,1790114738029.762143,0,0
128,1790114738069.773943,0,0
129,1790114738109.762443,0,0
130,1790114738149.746343,0,0
131,1790114738189.732143,0,0
132,1790114738229.748643,0,0
133,1790114738269.744143,0,0
134,1790114738309.752543,0,0
135,1790114738349.754343,0,0
136,1790114738389.724143,0,0
137,1790114738429.741043,0,0
138,1790114738469.728143,0,0
139,1790114738509.718643,0,0
140,1790114738549.727943,0,0
141,1790114738589.739343,0,0
142,1790114738629.736843,0,0
143,1790114738669.720843,0,0
144,1790114738709.711443,0,0
145,1790114738749.735243,0,0
146,1790114738789.697943,0,0
147,1790114738829.703543,0,0
148,1790114738869.726843,0,0
149,1790114738909.692143,0,0
150,1790114738949.723743,0,0
151,1790114738989.683943,0,0
152,1790114739029.716343,0,0
153,1790114739069.716343,0,0
154,1790114739109.703443,0,0
155,1790114739149.677543,0,0
156,1790114739189.678643,0,0
157,1790114739229.706343,0,0
158,1790114739269.703843,0,0
159,1790114739309.693343,0,0
160,1790114739349.688743,0,0
161,1790114739389.666743,0,0
162,1790114739429.680343,0,0
163,1790114739469.673543,0,0
164,1790114739509.680343,0,0
165,1790114739549.678643,0,0
166,1790114739589.650543,0,0
167,1790114739629.665243,0,0
168,1790114739669.659943,0,0
169,1790114739709.682543,0,0
170,1790114739749.677843,0,0
171,1790114739789.684043,0,0
172,1790114739829.659343,0,0
173,1790114739869.665343,0,0
174,1790114739909.635843,0,0
175,1790114739949.655943,0,0
176,1790114739989.650643,0,0
177,1790114740029.664543,0,0
178,1790114740069.643443,0,0
179,1790114740109.635943,0,0
180,1790114740149.640043,0,0
181,1790114740189.617343,0,0
182,1790114740229.630043,0,0
183,1790114740269.630443,0,0
184,1790114740309.623743,0,0
185,1790114740349.631343,0,0
186,1790114740389.613143,0,0
187,1790114740429.627043,0,0
188,1790114740469.610743,0,0
189,1790114740509.616343,0,0
190,1790114740549.609743,0,0
191,1790114740589.620143,0,0
192,1790114740629.618643,0,0
193,1790114740669.611143,0,0
194,1790114740709.603243,0,0
195,1790114740749.610543,0,0
196,1790114740789.624143,0,0
197,1790114740829.594943,0,0
198,1790114740869.598743,0,0
199,1790114740909.615743,0,0
200,1790114740949.615443,0,0
201,1790114740989.631443,0,0
202,1790114741029.588143,0,0
203,1790114741069.585543,0,0
204,1790114741109.562843,0,0
205,1790114741149.564543,0,0
206,1790114741189.579343,0,0
207,1790114741229.553243,0,0
208,1790114741269.565643,0,0
209,1790114741309.565543,0,0
210,1790114741349.562443,0,0
211,1790114741389.549343,0,0
212,1790114741429.546643,0,0
213,1790114741469.536543,0,0
214,1790114741509.550843,0,0
215,1790114741549.530443,0,0
216,1790114741589.535143,0,0
217,1790114741629.545243,0,0
218,1790114741669.532343,0,0
219,1790114741709.533143,0,0
220,1790114741749.521543,0,0
221,1790114741789.533243,0,0
222,1790114741829.524143,0,0
223,1790114741869.514643,0,0
224,1790114741909.516743,0,0
225,1790114741949.505943,0,0
226,1790114741989.508143,0,0
227,1790114742029.499043,0,0
228,1790114742069.488343,0,0
229,1790114742109.495143,0,0
230,1790114742149.495243,0,0
231,1790114742189.507143,0,0
232,1790114742229.494843,0,0
233,1790114742269.473043,0,0
234,1790114742309.478343,0,0
235,1790114742349.468443,0,0
236,1790114742389.466743,0,0
