Sample,X(ms) [22.09.2026 22:43:05 543 UTC],"matematicko_upravljanje[%MD18]","izlazna_vrednost_objekta[%MD14]","vrednost_upravljanja[%MD10]"
2,1790116971984.043934,0,0,0
3,1790116972024.042534,0,0,0
4,1790116972064.026134,0,0,0
5,1790116972104.038834,0,0,0
6,1790116972144.014234,0,0,0
7,1790116972184.038734,0,0,0
8,1790116972224.041034,0,0,0
9,1790116972264.035434,0,0,0
10,1790116972304.028034,0,0,0
11,1790116972344.047434,0,0,0
12,1790116972384.022734,0,0,0
13,1790116972423.996534,0,0,0
14,1790116972464.014034,0,0,0
15,1790116972503.994134,0,0,0
16,1790116972544.002534,0,0,0
17,1790116972584.007534,0,0,0
18,1790116972624.000334,0,0,0
19,1790116972663.989234,0,0,0
20,1790116972704.000234,0,0,0
21,1790116972743.998734,0,0,0
22,1790116972783.985434,0,0,0
23,1790116972823.993734,0,0,0
24,1790116972864.006534,0,0,0
25,1790116972903.986034,0,0,0
26,1790116972943.992334,0,0,0
27,1790116972983.997634,0,0,0
28,1790116973023.978934,0,0,0
29,1790116973063.988134,0,0,0
30,1790116973103.970834,0,0,0
31,1790116973143.961834,0,0,0
32,1790116973183.959534,0,0,0
33,1790116973223.979634,0,0,0
34,1790116973263.983034,0,0,0
35,1790116973303.948734,0,0,0
36,1790116973343.966834,0,0,0
37,1790116973383.965634,0,0,0
38,1790116973423.961234,0,0,0
39,1790116973463.934834,0,0,0
40,1790116973503.939234,0,0,0
41,1790116973543.956534,0,0,0
42,1790116973583.946134,0,0,0
43,1790116973623.937134,0,0,0
44,1790116973663.948234,0,0,0
45,1790116973703.960034,0,0,0
46,1790116973743.935834,0,0,0
47,1790116973783.916634,0,0,0
48,1790116973823.924934,0,0,0
49,1790116973863.925734,0,0,0
50,1790116973903.916634,0,0,0
51,1790116973943.926534,0,0,0
52,1790116973983.920734,0,0,0
53,1790116974023.923934,0,0,0
54,1790116974063.906334,0,0,0
55,1790116974103.924834,0,0,0
56,1790116974143.936334,0,0,0
57,1790116974183.906434,0,0,0
58,1790116974223.913034,0,0,0
59,1790116974263.923934,0,0,0
60,1790116974303.903934,0,0,0
61,1790116974343.917434,0,0,0
62,1790116974383.884234,0,0,0
63,1790116974423.920734,0,0,0
64,1790116974463.897534,0,0,0
65,1790116974503.893734,0,0,0
66,1790116974543.890034,0,0,0
67,1790116974583.885934,0,0,0
68,1790116974623.919334,0,0,0
69,1790116974663.876234,0,0,0
70,1790116974703.897434,0,0,0
71,1790116974743.889934,0,0,0
72,1790116974783.892034,0,0,0
73,1790116974823.882034,0,0,0
74,1790116974863.861534,0,0,0
75,1790116974903.880134,0,0,0
76,1790116974943.925934,0,0,0
77,1790116974983.853534,0,0,0
78,1790116975023.861734,0,0,0
79,1790116975063.863434,0,0,0
80,1790116975103.864834,0,0,0
81,1790116975143.877534,0,0,0
82,1790116975183.863234,0,0,0
83,1790116975223.875834,0,0,0
84,1790116975263.839234,0,0,0
85,1790116975303.860634,0,0,0
86,1790116975343.856234,0,0,0
87,1790116975383.860634,0,0,0
88,1790116975423.843234,0,0,0
89,1790116975463.835634,0,0,0
90,1790116975503.832434,0,0,0
91,1790116975543.855234,0,0,0
92,1790116975583.836134,0,0,0
93,1790116975623.848034,0,0,0
94,1790116975663.841934,0,0,0
95,1790116975703.841934,0,0,0
96,1790116975743.874234,0,0,0
97,1790116975783.810034,0,0,0
98,1790116975823.831034,0,0,0
99,1790116975863.816934,0,0,0
100,1790116975903.810834,0,0,0
101,1790116975943.824334,0,0,0
102,1790116975987.701334,0,0,0
103,1790116976023.812634,0,0,0
104,1790116976063.827634,0,0,0
105,1790116976103.794834,0,0,0
106,1790116976143.802534,0,0,0
107,1790116976183.818534,0,0,0
108,1790116976223.820634,0,0,0
109,1790116976263.812934,0,0,0
110,1790116976303.795734,0,0,0
